metric_id,metric_name,description,category,priority,collection_event,frequency,data_type,aggregation_logic,dimensions,database,collection_name,retention_days,alert_enabled,alert_threshold_type,alert_threshold_value,alert_comparison
METRIC_DAU,Daily Active Users,Number of unique users who logged in during a 24-hour period,Engagement,Critical,UserLogin,RealTime,Count,UniqueCount,"Date,Platform,Region",MongoDB,engagement_metrics,365,true,Percentage,-10,DayOverDay
METRIC_MAU,Monthly Active Users,Number of unique users who logged in during a 30-day period,Engagement,Critical,UserLogin,Daily,Count,UniqueCount,"Month,Platform,Region",MongoDB,engagement_metrics,730,true,Percentage,-5,MonthOverMonth
METRIC_SESSION_LENGTH,Average Session Length,Average duration of user play sessions in minutes,Engagement,High,SessionEnd,RealTime,Duration,Average,"Date,UserLevel,Platform",MongoDB,engagement_metrics,90,false,,,
METRIC_RETENTION_D1,Day 1 Retention,Percentage of users who return 1 day after installation,Retention,Critical,UserLogin,Daily,Percentage,RetentionCohort,"InstallDate,Source,Platform",MongoDB,retention_metrics,365,true,Absolute,40,Below
METRIC_RETENTION_D7,Day 7 Retention,Percentage of users who return 7 days after installation,Retention,Critical,UserLogin,Daily,Percentage,RetentionCohort,"InstallDate,Source,Platform",MongoDB,retention_metrics,365,true,Absolute,20,Below
METRIC_ARPU,Average Revenue Per User,Average revenue generated per active user,Monetization,Critical,Purchase,Daily,Currency,AveragePerUser,"Date,Platform,UserSegment",MongoDB,monetization_metrics,730,true,Percentage,-15,WeekOverWeek
METRIC_ARPPU,Average Revenue Per Paying User,Average revenue generated per paying user,Monetization,High,Purchase,Daily,Currency,AveragePerPayingUser,"Date,Platform,UserSegment",MongoDB,monetization_metrics,730,false,,,
METRIC_CONVERSION_RATE,Conversion Rate,Percentage of users who make at least one purchase,Monetization,Critical,FirstPurchase,Daily,Percentage,ConversionRate,"Date,Platform,Source",MongoDB,monetization_metrics,365,true,Percentage,-20,WeekOverWeek
METRIC_GACHA_PULL_COUNT,Gacha Pull Count,Total number of gacha pulls performed,Economy,Medium,GachaPull,RealTime,Count,Sum,"Date,BannerId,UserSegment",MongoDB,economy_metrics,90,false,,,
METRIC_CURRENCY_EARNED,Currency Earned,Total amount of in-game currency earned by players,Economy,Medium,CurrencyGained,RealTime,Amount,Sum,"Date,CurrencyType,Source",MongoDB,economy_metrics,90,false,,,
METRIC_CURRENCY_SPENT,Currency Spent,Total amount of in-game currency spent by players,Economy,Medium,CurrencySpent,RealTime,Amount,Sum,"Date,CurrencyType,Sink",MongoDB,economy_metrics,90,false,,,
METRIC_STAGE_COMPLETION,Stage Completion Rate,Percentage of stage attempts that result in completion,Progression,High,StageEnd,RealTime,Percentage,CompletionRate,"Date,StageId,Difficulty",MongoDB,progression_metrics,180,true,Absolute,30,Below
METRIC_ARENA_PARTICIPATION,Arena Participation Rate,Percentage of eligible users who participate in arena,PvP,High,ArenaMatch,Daily,Percentage,ParticipationRate,"Date,UserLevel,Tier",MongoDB,pvp_metrics,180,false,,,
METRIC_CRASH_RATE,Crash Rate,Percentage of sessions that end with a crash,Technical,Critical,SessionEnd,RealTime,Percentage,CrashRate,"Date,Platform,Version",MongoDB,technical_metrics,90,true,Absolute,2,Above
METRIC_LOAD_TIME,Average Load Time,Average time taken to load game scenes,Technical,Medium,SceneLoad,RealTime,Duration,Average,"Date,SceneName,Platform",MongoDB,technical_metrics,30,true,Absolute,5000,Above
